value_id,product_super_attribute_id,store_id,use_default,"value"
53406,53385,1,1,""
53407,53386,1,1,""
53408,53387,1,1,""
53409,53388,1,1,""
53410,53389,1,1,""
53411,53390,1,1,""
53412,53391,1,1,""
53413,53392,1,1,""
53414,53393,1,1,""
53438,53417,1,1,""
53439,53418,1,1,""
53442,53421,1,1,""
53443,53422,1,1,""
53444,53423,1,1,""
53445,53424,1,1,""
53462,53441,1,1,""
53465,53444,1,1,""
53469,53448,1,1,""
53572,53551,1,1,""
53573,53552,1,1,""
53574,53553,1,1,""
53575,53554,1,1,""
53576,53555,1,1,""
53577,53556,1,1,""
53578,53075,0,0,"Taille Française haut"
53579,19427,0,0,"Taille ISO"
53580,19456,0,0,"Taille ISO"
53581,19429,0,0,"Taille ISO"
53582,19201,0,0,"Taille ISO"
53583,19440,0,0,"Taille ISO"
53584,19591,0,0,"Taille ISO"
53586,19473,0,0,"Taille ISO"
53587,19472,0,0,"Taille ISO"
53588,19471,0,0,"Taille ISO"
53589,19470,0,0,"Taille ISO"
53590,19469,0,0,"Taille ISO"
53591,19468,0,0,"Taille ISO"
53592,19467,0,0,"Taille ISO"
53593,19466,0,0,"Taille ISO"
53594,19465,0,0,"Taille ISO"
53595,19464,0,0,"Taille ISO"
53596,19463,0,0,"Taille ISO"
53597,19462,0,0,"Taille ISO"
53598,19461,0,0,"Taille ISO"
53599,19460,0,0,"Taille ISO"
53600,19459,0,0,"Taille ISO"
53601,19454,0,0,"Taille ISO"
53602,19453,0,0,"Taille ISO"
53603,19446,0,0,"Taille ISO"
53604,19445,0,0,"Taille ISO"
53605,19444,0,0,"Taille ISO"
53606,19443,0,0,"Taille ISO"
53607,19442,0,0,"Taille ISO"
53608,19441,0,0,"Taille ISO"
53609,19439,0,0,"Taille ISO"
53610,19438,0,0,"Taille ISO"
53611,19437,0,0,"Taille ISO"
53612,19436,0,0,"Taille ISO"
53613,19435,0,0,"Taille ISO"
53614,19434,0,0,"Taille ISO"
53615,19433,0,0,"Taille ISO"
53616,19432,0,0,"Taille ISO"
53617,19431,0,0,"Taille ISO"
53618,19430,0,0,"Taille ISO"
53619,19428,0,0,"Taille ISO"
53620,19426,0,0,"Taille ISO"
53621,19458,0,0,"Taille ISO"
53622,18909,0,0,"Taille ISO"
53623,18911,0,0,"Taille ISO"
53624,18910,0,0,"Taille ISO"
53625,18898,0,0,"Taille ISO"
53626,18897,0,0,"Taille ISO"
53627,18896,0,0,"Taille ISO"
53628,18894,0,0,"Taille ISO"
53629,18893,0,0,"Taille ISO"
53630,18891,0,0,"Taille ISO"
53631,18889,0,0,"Taille ISO"
53632,46,0,0,"Taille ISO"
53633,18908,0,0,"Taille ISO"
53634,18907,0,0,"Taille ISO"
53635,18906,0,0,"Taille ISO"
53636,18905,0,0,"Taille ISO"
53637,18904,0,0,"Taille ISO"
53638,18903,0,0,"Taille ISO"
53639,18902,0,0,"Taille ISO"
53640,18901,0,0,"Taille ISO"
53641,18900,0,0,"Taille ISO"
53642,18899,0,0,"Taille ISO"
53643,18895,0,0,"Taille ISO"
53644,36,0,0,"Taille ISO"
53645,94,0,0,"Taille ISO"
53646,19102,0,0,"Taille de robe/jupe Ouest-européenne"
53647,19217,0,0,"Taille de robe/jupe Ouest-européenne"
53648,19216,0,0,"Taille de robe/jupe Ouest-européenne"
53649,19104,0,0,"Taille de robe/jupe Ouest-européenne"
53650,19630,0,0,"Taille de robe/jupe Ouest-européenne"
53651,16202,0,0,"Taille ISO"
53652,16201,0,0,"Taille ISO"
53653,18890,0,0,"Taille ISO"
53654,18892,0,0,"Taille ISO"
53655,43,0,0,"Taille ISO"
53656,96,0,0,"Taille Française haut"
53657,53393,0,0,"Taille ISO"
53658,53116,0,0,"Tour de hanches à plat Français"
53659,62,0,0,"Taille ISO"
53660,32,0,0,"Taille ISO"
53661,4325,0,0,"Taille ISO"
53662,4066,0,0,"Taille ISO"
53663,53387,0,0,"Taille ISO"
53664,4403,0,0,"Taille ISO"
53665,19098,0,0,"Taille de robe/jupe Ouest-européenne"
53666,53114,0,0,"Tour de hanches à plat Français"
53667,188,0,0,"Taille ISO"
53668,19636,0,0,"Taille Française haut"
53669,53418,0,0,"Taille ISO"
53670,53417,0,0,"Taille ISO"
53671,53392,0,0,"Taille ISO"
53672,53391,0,0,"Taille ISO"
53673,53390,0,0,"Taille ISO"
53674,53389,0,0,"Taille ISO"
53675,53388,0,0,"Taille ISO"
53676,53386,0,0,"Taille ISO"
53677,53083,0,0,"Taille Française haut"
53678,53126,0,0,"Taille Française haut"
53679,53162,0,0,"Taille Française haut"
53680,48,0,0,"Taille ISO"
53681,40,0,0,"Taille ISO"
53682,19634,0,0,"Taille ISO"
53683,53308,0,0,"Taille ISO"
53684,53218,0,0,"Taille Française haut"
53685,19633,0,0,"Taille ISO"
53686,41,0,0,"Taille ISO"
53687,19107,0,0,"Taille de robe/jupe Ouest-européenne"
